Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
pers_563211,4_author,doc_564798,2001-10-13,0.0188679,NA,NA,NA,NA,NA,NA
pers_563211,4_author,doc_627390,2009-04-07,0.2,NA,NA,NA,NA,NA,NA
pers_563211,4_author,doc_561114,2016-03-14,0.25,NA,NA,NA,NA,NA,NA
pers_541017,4_author,doc_601492,2022-12-17,0.142857,NA,NA,NA,NA,NA,NA
pers_572413,1_phone,pers_629627,2025-01-16,1,4,4,-2.24962,-165.651,-1.16067,-162.983
pers_572413,1_phone,pers_505965,2025-01-16,1,4,4,-2.24962,-165.651,-3.88606,-166.186
pers_505965,0_emails,pers_629627,2025-01-16,1,NA,NA,NA,NA,NA,NA
pers_572413,1_phone,pers_505965,2025-01-16,1,4,4,-2.24962,-165.651,-3.88606,-166.186
pers_629627,1_phone,pers_515794,2025-01-16,1,4,4,-1.16067,-162.983,6.71518,-165.251
pers_505965,0_emails,pers_515794,2025-01-16,1,NA,NA,NA,NA,NA,NA
pers_572413,1_phone,pers_629627,2025-01-16,1,4,4,-2.24962,-165.651,-1.16067,-162.983
pers_572413,1_phone,pers_515794,2025-01-16,1,4,4,-2.24962,-165.651,6.71518,-165.251
pers_515794,1_phone,pers_505965,2025-01-16,1,4,4,6.71518,-165.251,-3.88606,-166.186
pers_515794,1_phone,pers_505965,2025-01-16,1,4,4,6.71518,-165.251,-3.88606,-166.186
pers_572413,1_phone,pers_505965,2025-01-16,1,4,4,-2.24962,-165.651,-3.88606,-166.186
pers_505965,0_emails,pers_515794,2025-01-17,1,NA,NA,NA,NA,NA,NA
pers_572413,1_phone,pers_515794,2025-01-17,1,4,4,-2.24962,-165.651,6.71518,-165.251
pers_505965,0_emails,pers_515794,2025-01-17,1,NA,NA,NA,NA,NA,NA
pers_629627,1_phone,pers_515794,2025-01-18,1,4,4,-1.16067,-162.983,6.71518,-165.251
pers_572413,1_phone,pers_505965,2025-01-18,1,4,4,-2.24962,-165.651,-3.88606,-166.186
pers_515794,1_phone,pers_505965,2025-01-18,1,4,4,6.71518,-165.251,-3.88606,-166.186
pers_572413,1_phone,pers_629627,2025-01-18,1,4,4,-2.24962,-165.651,-1.16067,-162.983
pers_515794,1_phone,pers_629627,2025-01-18,1,4,4,6.71518,-165.251,-1.16067,-162.983
pers_515794,1_phone,pers_505965,2025-01-18,1,4,4,6.71518,-165.251,-3.88606,-166.186
pers_505965,0_emails,pers_629627,2025-01-18,1,NA,NA,NA,NA,NA,NA
pers_515794,0_emails,pers_629627,2025-01-19,1,NA,NA,NA,NA,NA,NA
