Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
pers_619322,3_buy,prod_590442,2025-01-02,17,NA,NA,NA,NA,NA,NA
pers_594308,0_emails,pers_549840,2025-01-02,1,NA,NA,NA,NA,NA,NA
pers_524153,3_buy,prod_629769,2025-01-04,4,NA,NA,NA,NA,NA,NA
pers_524153,3_buy,prod_461577,2025-01-06,1923,NA,NA,NA,NA,NA,NA
pers_619322,3_buy,prod_547205,2025-01-08,242,NA,NA,NA,NA,NA,NA
pers_483784,0_emails,pers_631903,2025-01-12,1,NA,NA,NA,NA,NA,NA
pers_619322,2_sell,prod_549891,2025-01-17,6663,NA,NA,NA,NA,NA,NA
pers_524153,3_buy,prod_632485,2025-01-20,108,NA,NA,NA,NA,NA,NA
pers_549840,0_emails,pers_619322,2025-01-20,1,NA,NA,NA,NA,NA,NA
pers_619322,6_travels,count_657173,2025-01-24,8,5,1,22,156,-29,-13
pers_619322,6_travels,count_657173,2025-01-24,8,5,1,22,156,-29,-13
pers_619322,6_travels,count_657173,2025-01-24,8,5,1,22,156,-29,-13
pers_619322,6_travels,count_657173,2025-01-24,8,5,1,22,156,-29,-13
pers_619322,6_travels,count_657173,2025-01-24,8,5,1,22,156,-29,-13
pers_594308,1_phone,pers_477657,2025-01-24,1,2,4,-24.1761,93.8902,-1.17279,-170.646
pers_524153,2_sell,prod_620947,2025-02-06,821,NA,NA,NA,NA,NA,NA
pers_524153,3_buy,prod_492039,2025-02-06,1,NA,NA,NA,NA,NA,NA
pers_594308,6_travels,count_616453,2025-02-08,1,2,5,-22,91,22,156
pers_594308,6_travels,count_616453,2025-02-08,1,2,5,-22,91,22,156
pers_594308,6_travels,count_616453,2025-02-08,1,2,5,-22,91,22,156
pers_594308,6_travels,count_616453,2025-02-08,1,2,5,-22,91,22,156
pers_594308,6_travels,count_616453,2025-02-08,1,2,5,-22,91,22,156
pers_524153,3_buy,prod_483999,2025-02-09,39,NA,NA,NA,NA,NA,NA
pers_524153,3_buy,prod_644754,2025-02-22,72,NA,NA,NA,NA,NA,NA
pers_524153,3_buy,prod_525263,2025-02-24,719,NA,NA,NA,NA,NA,NA
pers_483784,1_phone,pers_619322,2025-02-24,1,0,3,32.2503,-40.4067,-24.2286,-111.129
pers_477657,6_travels,count_616453,2025-02-27,0,0,5,33,-41,22,156
pers_477657,6_travels,count_616453,2025-02-27,0,0,5,33,-41,22,156
pers_477657,6_travels,count_616453,2025-02-27,0,0,5,33,-41,22,156
pers_477657,6_travels,count_616453,2025-02-27,0,0,5,33,-41,22,156
