Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
pers_636721,2_sell,prod_585417,2025-01-02,1398,NA,NA,NA,NA,NA,NA
pers_628320,1_phone,pers_557269,2025-01-03,1,4,4,0.224078,-163.624,2.40053,-161.288
pers_546593,1_phone,pers_492850,2025-01-03,1,0,3,32.2146,-42.6609,-24.9904,-111.346
pers_536906,0_emails,pers_569329,2025-01-11,1,NA,NA,NA,NA,NA,NA
pers_483005,0_emails,pers_655963,2025-01-15,1,NA,NA,NA,NA,NA,NA
pers_601496,0_emails,pers_557269,2025-01-15,1,NA,NA,NA,NA,NA,NA
pers_580798,6_travels,count_625756,2025-01-16,5,2,3,-22,91,-25,-111
pers_580798,6_travels,count_625756,2025-01-16,5,2,3,-22,91,-25,-111
pers_580798,6_travels,count_625756,2025-01-16,5,2,3,-22,91,-25,-111
pers_580798,6_travels,count_625756,2025-01-16,5,2,3,-22,91,-25,-111
pers_580798,6_travels,count_625756,2025-01-16,5,2,3,-22,91,-25,-111
count_625756,6_travels,pers_492850,2025-01-20,-1,5,3,22,156,-25,-111
count_625756,6_travels,pers_492850,2025-01-20,-1,5,3,22,156,-25,-111
count_625756,6_travels,pers_492850,2025-01-20,-1,5,3,22,156,-25,-111
count_625756,6_travels,pers_492850,2025-01-20,-1,5,3,22,156,-25,-111
count_625756,6_travels,pers_492850,2025-01-20,-1,5,3,22,156,-25,-111
pers_639642,1_phone,pers_639642,2025-01-20,1,5,5,21.5434,154.279,21.5434,154.279
pers_636721,3_buy,prod_461577,2025-01-20,8,NA,NA,NA,NA,NA,NA
pers_636721,3_buy,prod_629826,2025-01-21,230,NA,NA,NA,NA,NA,NA
pers_557269,1_phone,pers_544636,2025-01-22,1,4,3,2.40053,-161.288,-23.8755,-111.541
pers_636721,3_buy,prod_618398,2025-01-22,14,NA,NA,NA,NA,NA,NA
pers_579305,1_phone,pers_544636,2025-01-24,1,0,3,39.8886,-41.778,-23.8755,-111.541
pers_584457,0_emails,pers_639642,2025-01-28,1,NA,NA,NA,NA,NA,NA
pers_636721,2_sell,prod_655265,2025-02-02,724,NA,NA,NA,NA,NA,NA
pers_636721,3_buy,prod_588802,2025-02-03,596,NA,NA,NA,NA,NA,NA
